url	first_seen	portal	title	company	status	location
https://jobs.ashbyhq.com/continua/ecf035d9-0212-4e30-9aeb-68b2419a6145	2026-06-08	websearch	Product and Growth Manager	Continua	skipped_location	US-based (not AU/TW)
https://jobs.ashbyhq.com/speak/a2219200-51be-4a14-84bf-a82d653aadff	2026-06-10	websearch	Product Manager - Growth	Speak	skipped_expired	Taipei (Job not found)
https://boards.greenhouse.io/neuron/jobs/4617139003	2026-06-15	websearch	Global Growth Manager	Neuron Mobility	added	Melbourne, Australia
https://boards.greenhouse.io/coupang/jobs/7515120	2026-06-15	websearch	Product Manager	Coupang	added	Taipei, Taiwan
https://www.coupang.jobs/en/jobs/6659262/product-manager-display-advertising-growth-marketing/	2026-06-15	websearch	Product Manager - Display Advertising (Growth Marketing)	Coupang	added	Taipei, Taiwan
https://www.coupang.jobs/en/jobs/6703354/product-manager-search-advertising-growth-marketing/	2026-06-15	websearch	Product Manager - Search Advertising (Growth Marketing)	Coupang	added	Taipei, Taiwan
https://job-boards.greenhouse.io/cultureamp/jobs/7659603	2026-06-15	websearch	Senior Product Marketing Manager, Market Intelligence	Culture Amp	added	Melbourne, Australia
https://job-boards.greenhouse.io/placementsio/jobs/5048223007	2026-06-15	websearch	Technical Product Manager	Placements.io	added	Taipei, Taiwan
https://jobs.ashbyhq.com/workyard/b0f154ca-1131-49b8-b8c8-a72c9173e36c	2026-06-15	websearch	Product Manager	Workyard	skipped_location	Sydney, AU (not in allow list: Melbourne/Taipei)
https://jobs.ashbyhq.com/workyard/0eba60d9-76b3-4b42-82e9-31fec9ceeb75	2026-06-15	websearch	Growth Marketer	Workyard	skipped_location	Sydney, AU (not in allow list: Melbourne/Taipei)
https://job-boards.greenhouse.io/cultureamp/jobs/7416158	2026-06-15	websearch	Senior Marketing Program Manager	Culture Amp	skipped_title	Melbourne (title does not match positive list)
https://apply.workable.com/wati-dot-i-o/j/99F31A2507/	2026-06-15	websearch	Staff/Lead Product Manager	WATI.io	skipped_title	Remote (negative keyword: Staff/Lead)
https://jobs.ashbyhq.com/heidihealth.com.au/656f84a5-fa57-4394-826c-e72bc3a9ef57	2026-06-21	ashby-api	Product Manager, Apps	Heidi Health	added	Sydney · Melbourne · Australia
https://jobs.ashbyhq.com/heidihealth.com.au/9ef84427-7820-4f93-afdc-75178511bd33	2026-06-21	ashby-api	Product Manager, Intelligence	Heidi Health	added	Sydney · Melbourne · Australia
https://jobs.ashbyhq.com/heidihealth.com.au/7ac69cba-cc19-4407-ba02-b05ee55d1e30	2026-06-21	ashby-api	Senior Growth Analyst	Heidi Health	added	Sydney · Melbourne · Australia
https://jobs.lever.co/myob-2/dccb3db8-4734-408a-a613-56cf2785f501	2026-06-21	lever-api	Senior Product Marketing Manager - Growth & Monestisation	MYOB	added	Melbourne, Australia
https://jobs.ashbyhq.com/airwallex/b64077ca-eed1-4d03-8a5e-1fc5278ef38b	2026-06-21	ashby-api	Sales Development Representative, SME & Growth	Airwallex	added	AU - Sydney · AU - Melbourne · Melbourne · Australia
https://jobs.ashbyhq.com/airwallex/00a7bbce-af16-4d4d-b36b-50034b5d9038	2026-06-21	ashby-api	Senior Manager, Financial Partnerships APAC	Airwallex	added	SG - Singapore · AU - Sydney · Sydney · Australia · AU - Melbourne · Melbourne
https://jobs.ashbyhq.com/airwallex/8dde93d5-14a0-4b6c-8b66-1f83bc0f0057	2026-06-21	ashby-api	Account Manager, SME & Growth	Airwallex	added	AU - Sydney · AU - Melbourne · Melbourne · Australia
https://jobs.ashbyhq.com/airwallex/54a449ac-0018-45a9-91fe-19d1a8b9ef30	2026-06-21	ashby-api	GTM Partnerships Manager, AU, SME & Growth	Airwallex	added	AU - Sydney · AU - Melbourne · Melbourne · Australia
